Περιοχή,ΤΚ,"Νέες συνδέσεις","Μήνας σύνδεσης"
"ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ",18120,1,09/2024
"ΠΡΟΦ. ΔΑΝΙΗΛ",10447,2,09/2024
"ΠΡΟΦ. ΗΛΙΑΣ",18863,1,09/2024
ΣΕΛΗΝΙΑ,18902,2,09/2024
ΣΟΥΛΙ,17342,1,09/2024
ΣΟΥΡΜΕΝΑ,16777,18,09/2024
"ΣΥΝ ΚΑΡΠΑΘΙΩΝ",15126,1,09/2024
"ΣΥΝ ΠΕΛΟΠΟΝΝΗΣΙΩΝ",14564,1,09/2024
ΣΧΙΣΤΟ,18122,1,09/2024
ΣΩΡΟΥ,15126,1,09/2024
ΤΑΜΠΟΥΡΙΑ,18546,1,09/2024
ΤΑΞΙΑΡΧΕΣ,18121,2,09/2024
ΤΑΥΡΟΣ,17778,2,09/2024
ΤΕΡΨΙΘΕΑ,16561,11,09/2024
ΤΕΡΨΙΘΕΑ,16562,2,09/2024
ΤΕΡΨΙΘΕΑ,18535,2,09/2024
ΤΖΙΤΖΙΦΙΕΣ,17674,2,09/2024
ΤΟΥΦΑ,15234,1,09/2024
ΥΜΗΤΤΟΣ,17236,1,09/2024
ΥΜΗΤΤΟΣ,17237,2,09/2024
ΦΙΛΟΘΕΗ,15123,1,09/2024
ΦΙΛΟΘΕΗ,15237,3,09/2024
ΦΙΛΟΠΑΠΠΟΥ,11741,1,09/2024
ΧΑΙΔΑΡΙ,12461,7,09/2024
ΧΑΛΑΝΔΡΙ,15231,1,09/2024
ΧΑΛΑΝΔΡΙ,15232,1,09/2024
ΧΑΛΑΝΔΡΙ,15233,2,09/2024
ΧΑΛΑΝΔΡΙ,15234,3,09/2024
ΧΑΡΟΚΟΠΟΥ,17671,2,09/2024
ΧΑΣΑΝΙ,16452,1,09/2024
ΧΑΣΑΝΙ,16777,2,09/2024
ΧΟΛΑΡΓΟΣ,15562,6,09/2024
ΨΑΛΙΔΙ,15122,1,09/2024
ΨΑΡΙ,19300,1,09/2024
ΨΥΡΡΗ,10554,4,09/2024
ΨΥΧΙΚΟ,15452,1,09/2024
ΑΒΕΡΩΦ,11524,1,10/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,3,10/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13562,2,10/2023
"ΑΓ. ΑΝΝΑ",13671,1,10/2023
"ΑΓ. ΑΝΝΑ",18233,1,10/2023
"ΑΓ. ΒΑΡΒΑΡΑ",17235,1,10/2023
"ΑΓ. ΒΑΡΒΑΡΑ",18120,1,10/2023
"ΑΓ. ΓΕΩΡΓΙΟΣ",18453,2,10/2023
"ΑΓ. ΓΕΩΡΓΙΟΣ",18756,3,10/2023
"ΑΓ. ΓΡΗΓΟΡΟΥΣΑ",12461,1,10/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17341,1,10/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17343,5,10/2023
"ΑΓ. ΘΩΜΑΣ",15123,2,10/2023
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,5,10/2023
"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ",16346,5,10/2023
"ΑΓ. ΛΟΥΚΑΣ",11144,1,10/2023
"ΑΓ. ΜΑΡΙΝΑ",16345,2,10/2023
"ΑΓ. ΜΗΝΑΣ",18758,4,10/2023
"ΑΓ. ΜΗΝΑΣ",18900,1,10/2023
"ΑΓ. ΝΕΙΛΟΣ",18538,1,10/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,5,10/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",18450,1,10/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",18451,1,10/2023
"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ",17456,2,10/2023
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",13679,1,10/2023
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15341,1,10/2023
"ΑΓ. ΠΕΤΡΟΣ",13675,1,10/2023
"ΑΓ. ΣΟΦΙΑ",18543,2,10/2023
"ΑΓ. ΣΠΥΡΙΔΩΝ",12242,2,10/2023
ΑΓΓΕΛΟΠΟΥΛΟΥ,11251,9,10/2023
ΑΔΑΜΕΣ,14564,1,10/2023
"ΑΙΑΝΤΕΙΟ ΚΑΤΣΟΥΛΗ",18900,1,10/2023
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,1,10/2023
ΑΛΙΜΟΣ,17455,6,10/2023
ΑΛΣΟΥΠΟΛΗ,14235,2,10/2023
ΑΛΩΝΙΑ,18900,1,10/2023
ΑΜΠΕΛΑΚΙΑ,18902,4,10/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11523,1,10/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11526,1,10/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11527,23,10/2023
ΑΜΦΙΘΕΑ,17563,4,10/2023
ΑΜΦΙΘΕΑ,17564,4,10/2023
ΑΝΑΓΕΝΝΗΣΗ,12243,4,10/2023
ΑΝΑΛΗΨΗ,18452,1,10/2023
ΑΝΑΣΤΑΣΗ,18755,2,10/2023
ΑΝΘΕΩΝ,17343,2,10/2023
ΑΝΘΟΥΠΟΛΗ,12135,3,10/2023
ΑΝΟΙΞΗ,17342,1,10/2023
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18122,3,10/2023
"ΑΝΩ ΚΥΨΕΛΗ",11364,1,10/2023
"ΑΝΩ ΛΙΟΥΜΗ",12243,3,10/2023
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11851,2,10/2023
"ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,3,10/2023
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,3,10/2023
ΑΡΓΥΡΟΥΠΟΛΗ,16451,2,10/2023
ΑΡΓΥΡΟΥΠΟΛΗ,16452,1,10/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,4,10/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,3,10/2023
ΑΣΠΡΟΠΥΡΓΟΣ,19300,12,10/2023
ΑΣΤΥΝΟΜΙΚΑ,16342,1,10/2023
ΑΣΥΡΜΑΤΟΣ,16672,1,10/2023
ΑΣΥΡΜΑΤΟΣ,17341,8,10/2023
ΑΥΤΟΚΙΝΗΤΙΣΤΩΝ,16673,1,10/2023
ΒΑΘΗΣ,10438,2,10/2023
ΒΑΡΗ,16672,1,10/2023
"ΒΑΣ. ΠΕΡΙΠΤΕΡΟ",18538,1,10/2023
ΒΙΑΜΑΞ,12242,1,10/2023
ΒΟΥΛΑ,16673,2,10/2023
ΓΑΛΑΤΣΙ,11146,12,10/2023
ΓΑΛΑΤΣΙ,11147,2,10/2023
ΓΕΡΑΚΑΣ,15344,1,10/2023
ΓΕΡΟΒΟΥΝΟ,13451,11,10/2023
ΓΕΡΟΒΟΥΝΟ,13671,2,10/2023
ΓΙΑΛΑ,18903,1,10/2023
ΓΚΥΖΗ,11476,2,10/2023
ΓΛΥΦΑΔΑ,16562,3,10/2023
ΓΛΥΦΑΔΑ,16674,1,10/2023
ΓΛΥΦΑΔΑ,16675,2,10/2023
ΔΑΣΟΣ,12462,7,10/2023
ΔΑΦΝΗ,17235,3,10/2023
ΔΑΦΝΗ,17237,4,10/2023
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,1,10/2023
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12242,5,10/2023
ΔΙΚΗΓΟΡΙΚΑ,16673,13,10/2023
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ",17342,11,10/2023
"ΕΙΚΟΝΙΚΗ ΠΕΡΙΟΧΗ",18756,1,10/2023
ΕΛΕΥΣΙΝΑ,19200,2,10/2023
ΕΛΛΗΝΙΚΟ,16777,2,10/2023
ΕΞΑΡΧΕΙΑ,10678,1,10/2023
ΕΥΑΓΓΕΛΙΣΤΡΙΑ,18534,4,10/2023
ΕΥΓΕΝΕΙΑ,18755,7,10/2023
ΕΦΟΡΙΑΚΩΝ,17456,2,10/2023
ΖΕΦΥΡΙ,13461,2,10/2023
ΖΩΓΡΑΦΟΥ,15771,11,10/2023
ΖΩΓΡΑΦΟΥ,15772,12,10/2023
ΗΛ.ΣΤΑΘΜΟΣ,17675,1,10/2023
ΗΛΙΟΥΠΟΛΗ,16343,1,10/2023
ΗΛΙΟΥΠΟΛΗ,16346,1,10/2023
ΗΡΑΚΛΕΙΟ,14121,2,10/2023
ΗΡΑΚΛΕΙΟ,14122,2,10/2023
ΘΗΣΕΙΟ,11851,1,10/2023
ΙΕΡΑΠΟΛΗ,12244,9,10/2023
ΙΛΙΟΝ,13121,4,10/2023
ΙΛΙΟΝ,13122,11,10/2023
ΙΛΙΟΝ,13123,5,10/2023
ΙΛΙΣΙΑ,11528,1,10/2023
ΚΑΙΣΑΡΙΑΝΗ,16122,3,10/2023
ΚΑΛΑΜΑΚΙ,17455,1,10/2023
ΚΑΛΛΙΘΕΑ,17671,18,10/2023
ΚΑΛΛΙΘΕΑ,17673,1,10/2023
ΚΑΛΛΙΘΕΑ,17675,1,10/2023
ΚΑΛΛΙΘΕΑ,17676,1,10/2023
ΚΑΛΛΙΠΟΛΗ,18539,9,10/2023
ΚΑΛΥΜΝΙΩΝ,16673,3,10/2023
ΚΑΜΑΤΕΡΟ,13451,7,10/2023
ΚΑΜΑΤΕΡΟ,18902,1,10/2023
ΚΑΜΙΝΙΑ,18541,3,10/2023
ΚΑΝΑΡΙΑ,16345,1,10/2023
ΚΑΡΒΕΛΑΣ,16561,1,10/2023
ΚΑΡΒΕΛΑΣ,16674,1,10/2023
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14561,2,10/2023
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14564,2,10/2023
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11853,6,10/2023
ΚΕΝΤΡΟ,10432,21,10/2023
ΚΕΝΤΡΟ,10551,2,10/2023
ΚΕΝΤΡΟ,10560,1,10/2023
ΚΕΝΤΡΟ,10561,2,10/2023
ΚΕΝΤΡΟ,10562,1,10/2023
ΚΕΝΤΡΟ,10563,1,10/2023
ΚΕΝΤΡΟ,18536,1,10/2023
ΚΕΦΑΛΑΡΙ,14562,1,10/2023
ΚΗΠΟΥΠΟΛΗ,13231,4,10/2023
"ΚΟΚ. ΜΥΛΟΣ",14342,1,10/2023
ΚΟΚΚΙΝΟΒΡΑΧΟΣ,18757,3,10/2023
ΚΟΛΙΑΤΣΟΥ,11253,8,10/2023
ΚΟΛΟΚΥΝΘΟΥ,12132,1,10/2023
ΚΟΝΤΟΠΕΥΚΟ,15343,3,10/2023
ΚΟΡΜΠΙ,16672,1,10/2023
"ΚΟΡΜΠΙ ΦΑΡΟΥ",16672,1,10/2023
ΚΟΡΥΔΑΛΛΟΣ,18120,3,10/2023
ΚΟΡΥΔΑΛΛΟΣ,18121,1,10/2023
ΚΡΗΝΗ,18451,4,10/2023
ΚΡΗΝΗ,18453,1,10/2023
ΚΥΘΗΡΙΩΝ,17456,5,10/2023
ΚΥΠΡΙΑΔΟΥ,11141,2,10/2023
ΚΥΨΕΛΗ,11252,3,10/2023
ΚΥΨΕΛΗ,11257,7,10/2023
ΛΑΘΕΑ,13678,2,10/2023
ΛΙΟΥΜΗ,12243,2,10/2023
"ΛΟΦΟΣ ΣΚΟΥΖΕ",10443,4,10/2023
"ΛΟΦΟΣ ΣΚΟΥΖΕ",10444,2,10/2023
ΛΥΚΟΤΡΥΠΑ,13671,1,10/2023
ΜΑΓΟΥΛΑ,19018,3,10/2023
ΜΑΝΙΑΤΙΚΑ,18543,1,10/2023
ΜΑΝΙΑΤΙΚΑ,18546,2,10/2023
ΜΑΡΟΥΣΙ,15122,10,10/2023
ΜΑΡΟΥΣΙ,15124,1,10/2023
ΜΑΡΟΥΣΙ,15125,1,10/2023
ΜΑΡΟΥΣΙ,15126,1,10/2023
"ΜΕΓ. ΣΧΙΝΑ",13679,3,10/2023
"ΜΕΓΑΡΑ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ",19100,2,10/2023
ΜΕΛΙΣΣΙΑ,15127,4,10/2023
ΜΕΣΟΝΥΧΙ,13675,9,10/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14451,7,10/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14452,3,10/2023
ΜΕΤΑΜΟΡΦΩΣΗ,16232,2,10/2023
ΜΕΤΑΜΟΡΦΩΣΗ,18345,2,10/2023
ΜΙΧΕΛΗ,13123,3,10/2023
ΜΟΥΣΕΙΟ,10682,1,10/2023
ΜΠΑΤΣΙ,18900,1,10/2023
ΜΠΟΣΚΙΖΑ,13679,1,10/2023
ΜΠΟΥΡΝΑΖΙ,12133,6,10/2023
"Ν. ΚΟΛΟΚΥΝΘΟΥ",12132,1,10/2023
"Ν. ΛΙΟΣΙΑ",13122,1,10/2023
"ΝΕΑ ΖΩΗ",15341,1,10/2023
"ΝΕΑ ΙΩΝΙΑ",14231,9,10/2023
"ΝΕΑ ΚΗΦΙΣΙΑ",14564,4,10/2023
"ΝΕΑ ΚΥΨΕΛΗ",11476,1,10/2023
"ΝΕΑ ΛΕΣΒΟΣ",15126,1,10/2023
"ΝΕΑ ΜΑΔΥΤΟΣ",14342,9,10/2023
"ΝΕΑ ΠΕΝΤΕΛΗ",15236,3,10/2023
"ΝΕΑ ΣΜΥΡΝΗ",17122,1,10/2023
"ΝΕΑ ΣΜΥΡΝΗ",17123,2,10/2023
"ΝΕΑ ΣΜΥΡΝΗ",17124,6,10/2023
ΝΕΑΠΟΛΗ,11472,1,10/2023
ΝΕΑΠΟΛΗ,13672,9,10/2023
ΝΕΑΠΟΛΗ,13675,2,10/2023
ΝΕΑΠΟΛΗ,14233,8,10/2023
ΝΕΑΠΟΛΗ,18452,6,10/2023
"ΝΕΟ ΨΥΧΙΚΟ",15451,4,10/2023
ΝΤΑΜΑΡΑΚΙΑ,12244,2,10/2023
"ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ",13677,1,10/2023
"ΟΣΙΑ ΞΕΝΗ",18450,1,10/2023
"ΟΣΙΑ ΞΕΝΗ",18451,1,10/2023
"ΟΣΙΑ ΞΕΝΗ",18453,4,10/2023
"Π. ΚΟΚΚΙΝΙΑ",18450,1,10/2023
ΠΑΓΚΡΑΤΙ,11632,1,10/2023
ΠΑΓΚΡΑΤΙ,11634,1,10/2023
"ΠΑΛ. ΜΕΝΙΔΙ",13674,3,10/2023
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17561,1,10/2023
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17562,5,10/2023
ΠΑΛΑΤΙΑΝΗ,13121,3,10/2023
ΠΑΛΛΗΝΗ,15351,3,10/2023
ΠΑΛΟΥΚΙΑ,18901,2,10/2023
ΠΑΝΟΡΑΜΑ,13679,1,10/2023
ΠΑΝΟΡΑΜΑ,16673,1,10/2023
ΠΑΠΑΓΟΣ,15669,7,10/2023
ΠΑΡΑΔΕΙΣΟΣ,15343,2,10/2023
ΠΑΡΑΛΙΑ,18345,1,10/2023
ΠΑΡΑΛΙΑ,19010,7,10/2023
ΠΑΣΑΛΙΜΑΝΙ,18534,1,10/2023
ΠΑΤΗΜΑ,15238,6,10/2023
ΠΕΝΤΕΛΗ,15236,1,10/2023
ΠΕΡΑΝΙ,18903,1,10/2023
ΠΕΡΙΣΣΟΣ,14232,8,10/2023
ΠΕΡΙΣΤΕΡΙ,12131,5,10/2023
ΠΕΡΙΣΤΕΡΙ,12134,14,10/2023
ΠΕΡΙΣΤΕΡΙ,12135,3,10/2023
ΠΕΡΙΣΤΕΡΙ,12136,3,10/2023
ΠΕΤΡΟΥΠΟΛΗ,13231,15,10/2023
ΠΕΤΡΟΥΠΟΛΗ,13232,9,10/2023
ΠΕΥΚΗ,15121,1,10/2023
ΠΛΑΚΑ,10556,1,10/2023
"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ",10440,2,10/2023
"ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ",18120,2,10/2023
ΠΟΛΥΔΡΟΣΟ,15125,1,10/2023
"ΠΡΟΦ. ΗΛΙΑΣ",18863,1,10/2023
ΡΑΔΙΟΦΩΝΙΑ,13122,1,10/2023
ΡΑΔΙΟΦΩΝΙΑ,13123,2,10/2023
ΡΑΔΙΟΦΩΝΙΑ,13451,1,10/2023
ΡΕΤΣΙΝΑ,18540,1,10/2023
ΣΑΡΩΝΙΚΟΣ,17341,2,10/2023
ΣΑΡΩΝΙΚΟΣ,17343,1,10/2023
ΣΑΦΡΑΜΠΟΛΙΣ,14233,3,10/2023
ΣΕΛΗΝΙΑ,18902,2,10/2023
ΣΕΠΟΛΙΑ,10443,2,10/2023
ΣΙΔΕΡΑ,19300,2,10/2023
"ΣΥΝ ΚΑΡΠΑΘΙΩΝ",15126,4,10/2023
"ΣΥΝ. ΤΥΠΟΓΡΑΦΩΝ",16346,2,10/2023
ΣΧΙΣΤΟ,18122,2,10/2023
ΤΑΜΠΟΥΡΙΑ,18756,1,10/2023
ΤΕΡΨΙΘΕΑ,16561,2,10/2023
ΤΕΡΨΙΘΕΑ,16562,3,10/2023
ΤΖΙΤΖΙΦΙΕΣ,17673,15,10/2023
ΤΖΙΤΖΙΦΙΕΣ,17674,7,10/2023
ΤΖΙΤΖΙΦΙΕΣ,17675,1,10/2023
ΤΟΥΦΑ,15234,1,10/2023
ΤΡΑΥΜΑΤΙΩΝ,17455,1,10/2023
ΤΡΑΥΜΑΤΙΩΝ,17456,1,10/2023
ΤΣΑΚΟΣ,15341,1,10/2023
ΥΜΗΤΤΟΣ,17237,3,10/2023
ΧΑΙΔΑΡΙ,12461,4,10/2023
ΧΑΛΑΝΔΡΙ,15231,4,10/2023
ΧΑΛΑΝΔΡΙ,15232,1,10/2023
ΧΑΛΑΝΔΡΙ,15233,14,10/2023
ΧΑΛΑΝΔΡΙ,15234,10,10/2023
ΧΑΛΚΗΔΩΝ,18756,2,10/2023
ΧΑΡΑΥΓΗ,13673,1,10/2023
ΧΑΡΟΚΟΠΟΥ,17671,1,10/2023
ΧΑΣΑΝΙ,16452,4,10/2023
ΧΙΛΤΟΝ,16121,8,10/2023
ΧΟΛΑΡΓΟΣ,15561,8,10/2023
ΧΟΛΑΡΓΟΣ,15562,8,10/2023
ΧΡΥΣΟΥΠΟΛΗ,12137,1,10/2023
ΨΥΡΡΗ,10554,2,10/2023
ΨΥΧΙΚΟ,15452,1,10/2023
ΑΒΕΡΩΦ,11522,4,10/2024
"ΑΓ. ΑΘΑΝΑΣΙΟΣ",13675,2,10/2024
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,2,10/2024
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13562,1,10/2024
"ΑΓ. ΑΝΝΑ",13671,1,10/2024
"ΑΓ. ΑΝΝΑ",18233,1,10/2024
"ΑΓ. ΑΝΤΩΝΙΟΣ",18758,1,10/2024
"ΑΓ. ΒΑΡΒΑΡΑ",18120,4,10/2024
"ΑΓ. ΒΑΣΙΛΕΙΟΣ",18537,1,10/2024
"ΑΓ. ΓΕΩΡΓΙΟΣ",11744,1,10/2024
"ΑΓ. ΓΕΩΡΓΙΟΣ",18120,10,10/2024
"ΑΓ. ΓΕΩΡΓΙΟΣ",18453,1,10/2024
"ΑΓ. ΓΕΩΡΓΙΟΣ",18756,11,10/2024
"ΑΓ. ΓΡΗΓΟΡΟΥΣΑ",12461,3,10/2024
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17341,3,10/2024
"ΑΓ. ΕΛΕΟΥΣΑ",17675,1,10/2024
"ΑΓ. ΕΛΕΥΘΕΡΙΟΣ",11143,2,10/2024
"ΑΓ. Ι. ΡΕΝΤΗΣ",18233,1,10/2024
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,4,10/2024
"ΑΓ. ΙΩΑΝΝΗΣ",17234,1,10/2024
"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ",16346,1,10/2024
"ΑΓ. ΜΑΡΙΝΑ",16344,3,10/2024
"ΑΓ. ΜΑΡΙΝΑ",16345,2,10/2024
"ΑΓ. ΜΕΛΕΤΙΟΥ",10446,1,10/2024
"ΑΓ. ΜΗΝΑΣ",18757,1,10/2024
"ΑΓ. ΜΗΝΑΣ",18758,3,10/2024
"ΑΓ. ΝΕΙΛΟΣ",18538,1,10/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,7,10/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",16674,1,10/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",18450,3,10/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",18863,4,10/2024
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15341,1,10/2024
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15343,1,10/2024
"ΑΓ. ΠΕΤΡΟΣ",13675,3,10/2024
"ΑΓ. ΣΟΦΙΑ",18545,2,10/2024
"ΑΓ. ΣΟΦΙΑ",18546,1,10/2024
"ΑΓ. ΣΩΣΤΗΣ",11745,3,10/2024
ΑΓΓΕΛΟΠΟΥΛΟΥ,11251,8,10/2024
ΑΔΑΜΕΣ,14564,6,10/2024
ΑΙΑΝΤΕΙΟ,18903,1,10/2024
"ΑΙΑΝΤΕΙΟ ΖΑΡΜΠΑΛΑ",18903,2,10/2024
"ΑΙΑΝΤΕΙΟ ΜΑΙΝΕΜΕΝΗ",18903,2,10/2024
ΑΙΓΑΛΕΩ,12241,1,10/2024
ΑΙΓΑΛΕΩ,12243,4,10/2024
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,1,10/2024
ΑΛΙΜΟΣ,17455,7,10/2024
ΑΛΣΟΥΠΟΛΗ,14235,1,10/2024
ΑΛΩΝΙΑ,14562,2,10/2024
ΑΜΠΕΛΑΚΙΑ,18902,1,10/2024
ΑΜΠΕΛΟΚΗΠΟΙ,11523,1,10/2024
ΑΜΠΕΛΟΚΗΠΟΙ,11527,1,10/2024
ΑΜΦΙΑΛΗ,18757,3,10/2024
ΑΜΦΙΑΛΗ,18758,1,10/2024
ΑΜΦΙΘΕΑ,17563,22,10/2024
ΑΜΦΙΘΕΑ,17564,2,10/2024
ΑΝΑΓΕΝΝΗΣΗ,12243,2,10/2024
ΑΝΑΛΗΨΗ,18452,1,10/2024
ΑΝΘΕΩΝ,17343,2,10/2024
ΑΝΘΟΥΠΟΛΗ,12135,4,10/2024
ΑΝΟΙΞΗ,17342,4,10/2024
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18121,4,10/2024
"ΑΝΩ ΚΥΨΕΛΗ",11363,1,10/2024
"ΑΝΩ ΚΥΨΕΛΗ",11364,1,10/2024
"ΑΝΩ ΛΙΟΥΜΗ",12243,5,10/2024
"ΑΝΩ ΛΟΦΟΣ",12461,1,10/2024
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11851,2,10/2024
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11852,2,10/2024
ΑΠΟΛΛΩΝ,18541,1,10/2024
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,2,10/2024
ΑΡΓΥΡΟΥΠΟΛΗ,16451,2,10/2024
ΑΡΓΥΡΟΥΠΟΛΗ,16452,1,10/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,4,10/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,7,10/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",18454,2,10/2024
ΑΣΠΡΟΠΥΡΓΟΣ,19300,5,10/2024
ΑΣΥΡΜΑΤΟΣ,16672,1,10/2024
ΑΣΥΡΜΑΤΟΣ,17341,3,10/2024
ΒΑΡΗ,16672,1,10/2024
ΒΑΡΚΙΖΑ,16672,4,10/2024
ΒΙΑΜΑΞ,12242,1,10/2024
ΒΟΤΑΝΙΚΟΣ,11855,1,10/2024
ΒΟΥΛΑ,16673,13,10/2024
ΒΥΡΩΝΑΣ,16231,7,10/2024
ΒΥΡΩΝΑΣ,16232,2,10/2024
"Γ ΝΕΚΡΟΤΑΦΕΙΟ",18454,1,10/2024
ΓΑΛΑΤΣΙ,11146,8,10/2024
ΓΑΛΑΤΣΙ,11147,1,10/2024
ΓΕΡΜΑΝΙΚΑ,19300,2,10/2024
"ΓΕΡΜΑΝΙΚΟΣ ΔΡΟΜΟΣ ΒΟΡΕΙΟ",19100,4,10/2024
ΓΕΡΟΒΟΥΝΟ,13451,1,10/2024
ΓΕΡΟΒΟΥΝΟ,13671,1,10/2024
ΓΗΠΕΔΟ,18451,1,10/2024
"ΓΗΠΕΔΟ-ΝΕΟ ΜΕΛΙ",19100,16,10/2024
ΓΗΡΟΚΟΜΕΙΟ,11524,1,10/2024
ΓΚΥΖΗ,11475,1,10/2024
"ΓΛΥΚΑ ΝΕΡΑ",15354,5,10/2024
ΓΛΥΦΑΔΑ,16561,5,10/2024
ΓΛΥΦΑΔΑ,16562,2,10/2024
ΓΛΥΦΑΔΑ,16674,12,10/2024
ΓΛΥΦΑΔΑ,16675,7,10/2024
ΓΟΥΒΑ,11631,5,10/2024
ΔΑΣΟΣ,12462,3,10/2024
ΔΑΦΝΗ,17234,5,10/2024
ΔΑΦΝΗ,17235,3,10/2024
ΔΑΦΝΗ,17237,1,10/2024
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,1,10/2024
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12242,13,10/2024
ΔΗΜΟΤΙΚΟ,18531,7,10/2024
ΔΙΚΗΓΟΡΙΚΑ,16673,6,10/2024
ΔΙΚΗΓΟΡΙΚΑ,16675,1,10/2024
ΔΡΑΠΕΤΣΩΝΑ,18648,4,10/2024
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ",17342,1,10/2024
ΕΚΤΕΛΩΝΙΣΤΩΝ,17456,1,10/2024
ΕΛΕΥΣΙΝΑ,19200,8,10/2024
ΕΛΗΑ,17343,1,10/2024
ΕΛΛΗΝΙΚΟ,16777,5,10/2024
ΕΥΓΕΝΕΙΑ,18755,3,10/2024
ΕΦΟΡΙΑΚΩΝ,17456,1,10/2024
ΖΑΝΕΙΟ,18537,5,10/2024
ΖΕΦΥΡΙ,13461,5,10/2024
ΖΩΓΡΑΦΟΥ,15772,4,10/2024
"ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ",16231,1,10/2024
ΗΛΙΟΥΠΟΛΗ,16341,3,10/2024
ΗΛΙΟΥΠΟΛΗ,16342,1,10/2024
ΗΛΙΟΥΠΟΛΗ,16344,1,10/2024
ΗΛΙΟΥΠΟΛΗ,16346,1,10/2024
ΗΡΑΚΛΕΙΟ,14121,6,10/2024
ΗΡΑΚΛΕΙΟ,14122,13,10/2024
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,3,10/2024
ΘΥΜΑΡΑΚΙΑ,10445,1,10/2024
ΙΕΡΑΠΟΛΗ,12244,9,10/2024
ΙΛΙΟΝ,13121,14,10/2024
ΙΛΙΟΝ,13122,11,10/2024
ΙΛΙΟΝ,13123,3,10/2024
ΚΑΙΣΑΡΙΑΝΗ,16121,4,10/2024
ΚΑΛΛΙΘΕΑ,17675,1,10/2024
ΚΑΛΛΙΘΕΑ,17676,2,10/2024
ΚΑΛΛΙΠΟΛΗ,18539,2,10/2024
ΚΑΛΟΓΡΕΖΑ,14235,2,10/2024
ΚΑΛΥΜΝΙΩΝ,16673,10,10/2024
